exercise_id,exercise_start,exercise_end,utc_offset,exercise_created,exercise_last_updated,activity_name,log_type,pool_length,pool_length_unit,intervals,distance_units,tracker_total_calories,tracker_total_steps,tracker_total_distance_mm,tracker_total_altitude_mm,tracker_avg_heart_rate,tracker_peak_heart_rate,tracker_avg_pace_mm_per_second,tracker_avg_speed_mm_per_second,tracker_peak_speed_mm_per_second,tracker_auto_stride_run_mm,tracker_auto_stride_walk_mm,tracker_swim_lengths,tracker_pool_length,tracker_pool_length_unit,tracker_cardio_load,manually_logged_total_calories,manually_logged_total_steps,manually_logged_total_distance_mm,manually_logged_pool_length,manually_logged_pool_length_unit,events,activity_type_probabilities,autodetected_confirmed,autodetected_start_timestamp,autodetected_end_timestamp,autodetected_utc_offset,autodetected_activity_name,autodetected_sensor_based_activity_name,deletion_reason,activity_label,suggested_start_timestamp,suggested_end_timestamp,reconciliation_status
6036704732984153864,2025-10-17 02:43:57+0000,2025-10-17 02:51:38+0000,-07:00,2025-10-17 03:27:11+0000,2025-10-17 03:27:11+0000,Outdoor Bike,AUTO_DETECTED,0,UNSPECIFIED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,UNSPECIFIED,,,,
6040222738845843008,2025-10-17 16:52:12+0000,2025-10-17 16:59:53+0000,-07:00,2025-10-17 17:07:44+0000,2025-10-17 17:07:44+0000,Outdoor Bike,AUTO_DETECTED,0,UNSPECIFIED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,UNSPECIFIED,,,,
6070640182231695312,2025-10-09 02:56:35+0000,2025-10-09 03:03:25+0000,-07:00,2025-10-09 03:08:06+0000,2025-10-09 03:08:06+0000,Outdoor Bike,AUTO_DETECTED,0,UNSPECIFIED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,UNSPECIFIED,,,,
6086344837718105448,2025-10-26 20:40:29+0000,2025-10-26 20:46:27+0000,-07:00,2025-10-26 20:49:07+0000,2025-10-26 20:49:07+0000,Outdoor Bike,AUTO_DETECTED,0,UNSPECIFIED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,UNSPECIFIED,,,,
6089055071238542688,2025-10-17 22:35:15+0000,2025-10-17 22:42:56+0000,-07:00,2025-10-17 22:55:28+0000,2025-10-17 22:55:28+0000,Outdoor Bike,AUTO_DETECTED,0,UNSPECIFIED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,UNSPECIFIED,,,,
6093016478236076880,2025-08-16 01:11:31+0000,2025-08-16 01:35:21+0000,-07:00,2025-08-16 01:17:56+0000,2025-08-16 01:35:29+0000,Sport,TRACKER,0,UNSPECIFIED,,IMPERIAL,263,2338,1757328,0,163,194,0,157568,994,0,0,0,0,UNSPECIFIED,0,,,,,,,,,,,,,,UNSPECIFIED,,,,
6094904437210253464,2025-10-02 14:46:35+0000,2025-10-02 14:52:33+0000,-07:00,2025-10-02 14:57:48+0000,2025-10-02 14:57:48+0000,Outdoor Bike,AUTO_DETECTED,0,UNSPECIFIED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,UNSPECIFIED,,,,
6108441784060864352,2026-02-16 02:21:49+0000,2026-02-16 02:30:21+0000,-08:00,2026-02-16 17:31:35+0000,2026-02-16 17:31:35+0000,Outdoor Bike,AUTO_DETECTED,0,UNSPECIFIED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,UNSPECIFIED,,,,
6108936560642957480,2025-09-30 17:44:17+0000,2025-09-30 17:51:06+0000,-07:00,2025-09-30 18:07:59+0000,2025-09-30 18:07:59+0000,Outdoor Bike,AUTO_DETECTED,0,UNSPECIFIED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,UNSPECIFIED,,,,
6110668406305409032,2025-10-29 17:45:12+0000,2025-10-29 18:41:19+0000,-07:00,2025-10-29 17:55:57+0000,2025-10-29 18:41:33+0000,Weightlifting,TRACKER,0,UNSPECIFIED,,IMPERIAL,289,1152,645336,0,114,157,0,24448,443,0,0,0,0,UNSPECIFIED,0,,,,,,,,,,,,,,UNSPECIFIED,,,,
6128981704418854160,2025-10-11 00:09:29+0000,2025-10-11 05:44:53+0000,-07:00,2025-10-11 00:09:46+0000,2025-10-11 05:45:00+0000,Weightlifting,TRACKER,0,UNSPECIFIED,,IMPERIAL,798,1586,771765,0,78,160,0,4864,414,0,0,0,0,UNSPECIFIED,0,,,,,,,,,,,,,,UNSPECIFIED,,,,
