timestamp,heart_rate_zone,data source
2025-09-24T00:00:00Z,"{""heart_rate_zone_type"": LIGHT, ""min_heart_rate_bpm"": 30, ""max_heart_rate_bpm"": 119},{""heart_rate_zone_type"": MODERATE, ""min_heart_rate_bpm"": 120, ""max_heart_rate_bpm"": 146},{""heart_rate_zone_type"": VIGOROUS, ""min_heart_rate_bpm"": 147, ""max_heart_rate_bpm"": 179},{""heart_rate_zone_type"": PEAK, ""min_heart_rate_bpm"": 180, ""max_heart_rate_bpm"": 220}",Fitbit App
2025-09-25T00:00:00Z,"{""heart_rate_zone_type"": LIGHT, ""min_heart_rate_bpm"": 30, ""max_heart_rate_bpm"": 117},{""heart_rate_zone_type"": MODERATE, ""min_heart_rate_bpm"": 118, ""max_heart_rate_bpm"": 145},{""heart_rate_zone_type"": VIGOROUS, ""min_heart_rate_bpm"": 146, ""max_heart_rate_bpm"": 179},{""heart_rate_zone_type"": PEAK, ""min_heart_rate_bpm"": 180, ""max_heart_rate_bpm"": 220}",Fitbit App
2025-09-26T00:00:00Z,"{""heart_rate_zone_type"": LIGHT, ""min_heart_rate_bpm"": 30, ""max_heart_rate_bpm"": 119},{""heart_rate_zone_type"": MODERATE, ""min_heart_rate_bpm"": 120, ""max_heart_rate_bpm"": 146},{""heart_rate_zone_type"": VIGOROUS, ""min_heart_rate_bpm"": 147, ""max_heart_rate_bpm"": 179},{""heart_rate_zone_type"": PEAK, ""min_heart_rate_bpm"": 180, ""max_heart_rate_bpm"": 220}",Fitbit App
2025-09-27T00:00:00Z,"{""heart_rate_zone_type"": LIGHT, ""min_heart_rate_bpm"": 30, ""max_heart_rate_bpm"": 120},{""heart_rate_zone_type"": MODERATE, ""min_heart_rate_bpm"": 121, ""max_heart_rate_bpm"": 146},{""heart_rate_zone_type"": VIGOROUS, ""min_heart_rate_bpm"": 147, ""max_heart_rate_bpm"": 180},{""heart_rate_zone_type"": PEAK, ""min_heart_rate_bpm"": 181, ""max_heart_rate_bpm"": 220}",Fitbit App
2025-09-28T00:00:00Z,"{""heart_rate_zone_type"": LIGHT, ""min_heart_rate_bpm"": 30, ""max_heart_rate_bpm"": 119},{""heart_rate_zone_type"": MODERATE, ""min_heart_rate_bpm"": 120, ""max_heart_rate_bpm"": 146},{""heart_rate_zone_type"": VIGOROUS, ""min_heart_rate_bpm"": 147, ""max_heart_rate_bpm"": 179},{""heart_rate_zone_type"": PEAK, ""min_heart_rate_bpm"": 180, ""max_heart_rate_bpm"": 220}",Fitbit App
2025-09-29T00:00:00Z,"{""heart_rate_zone_type"": LIGHT, ""min_heart_rate_bpm"": 30, ""max_heart_rate_bpm"": 117},{""heart_rate_zone_type"": MODERATE, ""min_heart_rate_bpm"": 118, ""max_heart_rate_bpm"": 145},{""heart_rate_zone_type"": VIGOROUS, ""min_heart_rate_bpm"": 146, ""max_heart_rate_bpm"": 179},{""heart_rate_zone_type"": PEAK, ""min_heart_rate_bpm"": 180, ""max_heart_rate_bpm"": 220}",Fitbit App
2025-09-30T00:00:00Z,"{""heart_rate_zone_type"": LIGHT, ""min_heart_rate_bpm"": 30, ""max_heart_rate_bpm"": 116},{""heart_rate_zone_type"": MODERATE, ""min_heart_rate_bpm"": 117, ""max_heart_rate_bpm"": 144},{""heart_rate_zone_type"": VIGOROUS, ""min_heart_rate_bpm"": 145, ""max_heart_rate_bpm"": 179},{""heart_rate_zone_type"": PEAK, ""min_heart_rate_bpm"": 180, ""max_heart_rate_bpm"": 220}",Fitbit App
2025-10-01T00:00:00Z,"{""heart_rate_zone_type"": LIGHT, ""min_heart_rate_bpm"": 30, ""max_heart_rate_bpm"": 115},{""heart_rate_zone_type"": MODERATE, ""min_heart_rate_bpm"": 116, ""max_heart_rate_bpm"": 143},{""heart_rate_zone_type"": VIGOROUS, ""min_heart_rate_bpm"": 144, ""max_heart_rate_bpm"": 178},{""heart_rate_zone_type"": PEAK, ""min_heart_rate_bpm"": 179, ""max_heart_rate_bpm"": 220}",Fitbit App
2025-10-02T00:00:00Z,"{""heart_rate_zone_type"": LIGHT, ""min_heart_rate_bpm"": 30, ""max_heart_rate_bpm"": 116},{""heart_rate_zone_type"": MODERATE, ""min_heart_rate_bpm"": 117, ""max_heart_rate_bpm"": 144},{""heart_rate_zone_type"": VIGOROUS, ""min_heart_rate_bpm"": 145, ""max_heart_rate_bpm"": 179},{""heart_rate_zone_type"": PEAK, ""min_heart_rate_bpm"": 180, ""max_heart_rate_bpm"": 220}",Fitbit App
2025-10-03T00:00:00Z,"{""heart_rate_zone_type"": LIGHT, ""min_heart_rate_bpm"": 30, ""max_heart_rate_bpm"": 116},{""heart_rate_zone_type"": MODERATE, ""min_heart_rate_bpm"": 117, ""max_heart_rate_bpm"": 144},{""heart_rate_zone_type"": VIGOROUS, ""min_heart_rate_bpm"": 145, ""max_heart_rate_bpm"": 179},{""heart_rate_zone_type"": PEAK, ""min_heart_rate_bpm"": 180, ""max_heart_rate_bpm"": 220}",Fitbit App
