timestamp,steps,data source
2025-11-01T20:23:00Z,43,Charge 6
2025-11-01T20:30:00Z,8,Charge 6
2025-11-01T20:31:00Z,114,Charge 6
2025-11-01T20:32:00Z,79,Charge 6
2025-11-01T20:33:00Z,90,Charge 6
2025-11-01T20:34:00Z,62,Charge 6
2025-11-01T20:35:00Z,23,Charge 6
2025-11-01T20:36:00Z,9,Charge 6
2025-11-01T20:39:00Z,42,Charge 6
2025-11-01T20:40:00Z,14,Charge 6
2025-11-01T20:54:00Z,15,Charge 6
2025-11-01T21:36:00Z,16,Charge 6
2025-11-01T21:39:00Z,17,Charge 6
2025-11-01T21:40:00Z,2,Charge 6
2025-11-01T22:52:00Z,9,Charge 6
2025-11-02T00:11:00Z,7,Charge 6
2025-11-02T00:12:00Z,9,Charge 6
2025-11-02T00:13:00Z,41,Charge 6
2025-11-02T00:14:00Z,19,Charge 6
2025-11-02T00:15:00Z,12,Charge 6
2025-11-02T00:16:00Z,14,Charge 6
2025-11-02T00:17:00Z,53,Charge 6
2025-11-02T00:18:00Z,36,Charge 6
2025-11-02T00:19:00Z,12,Charge 6
2025-11-02T00:20:00Z,24,Charge 6
2025-11-02T00:21:00Z,27,Charge 6
2025-11-02T00:22:00Z,34,Charge 6
2025-11-02T00:23:00Z,43,Charge 6
2025-11-02T00:24:00Z,20,Charge 6
2025-11-02T00:25:00Z,64,Charge 6
2025-11-02T00:26:00Z,33,Charge 6
2025-11-02T00:29:00Z,5,Charge 6
2025-11-02T00:30:00Z,5,Charge 6
2025-11-02T00:31:00Z,11,Charge 6
2025-11-02T00:33:00Z,22,Charge 6
2025-11-02T00:34:00Z,26,Charge 6
2025-11-02T00:35:00Z,99,Charge 6
2025-11-02T00:36:00Z,104,Charge 6
2025-11-02T00:37:00Z,115,Charge 6
2025-11-02T00:38:00Z,84,Charge 6
2025-11-02T00:39:00Z,26,Charge 6
2025-11-02T00:40:00Z,28,Charge 6
2025-11-02T00:41:00Z,50,Charge 6
2025-11-02T00:42:00Z,23,Charge 6
2025-11-02T00:43:00Z,36,Charge 6
2025-11-02T00:44:00Z,4,Charge 6
2025-11-02T00:45:00Z,7,Charge 6
2025-11-02T00:46:00Z,5,Charge 6
2025-11-02T00:47:00Z,24,Charge 6
2025-11-02T00:48:00Z,23,Charge 6
2025-11-02T00:49:00Z,29,Charge 6
2025-11-02T00:50:00Z,14,Charge 6
2025-11-02T00:51:00Z,25,Charge 6
2025-11-02T00:54:00Z,21,Charge 6
2025-11-02T00:55:00Z,5,Charge 6
2025-11-02T00:58:00Z,43,Charge 6
2025-11-02T01:00:00Z,36,Charge 6
2025-11-02T01:01:00Z,15,Charge 6
2025-11-02T01:02:00Z,4,Charge 6
2025-11-02T01:03:00Z,10,Charge 6
2025-11-02T01:04:00Z,22,Charge 6
2025-11-02T01:05:00Z,57,Charge 6
2025-11-02T01:06:00Z,37,Charge 6
2025-11-02T01:07:00Z,11,Charge 6
2025-11-02T01:08:00Z,4,Charge 6
2025-11-02T01:09:00Z,36,Charge 6
2025-11-02T01:10:00Z,9,Charge 6
2025-11-02T01:11:00Z,11,Charge 6
2025-11-02T01:13:00Z,56,Charge 6
2025-11-02T01:14:00Z,28,Charge 6
2025-11-02T01:15:00Z,13,Charge 6
2025-11-02T01:16:00Z,4,Charge 6
2025-11-02T01:17:00Z,54,Charge 6
2025-11-02T01:18:00Z,49,Charge 6
2025-11-02T01:19:00Z,11,Charge 6
2025-11-02T01:20:00Z,13,Charge 6
2025-11-02T01:22:00Z,18,Charge 6
2025-11-02T01:23:00Z,11,Charge 6
2025-11-02T01:24:00Z,13,Charge 6
2025-11-02T01:25:00Z,6,Charge 6
2025-11-02T01:26:00Z,6,Charge 6
2025-11-02T01:28:00Z,38,Charge 6
2025-11-02T01:29:00Z,20,Charge 6
2025-11-02T01:31:00Z,43,Charge 6
2025-11-02T01:32:00Z,13,Charge 6
2025-11-02T01:34:00Z,40,Charge 6
2025-11-02T01:37:00Z,9,Charge 6
2025-11-02T01:39:00Z,35,Charge 6
2025-11-02T01:40:00Z,35,Charge 6
2025-11-02T01:41:00Z,12,Charge 6
2025-11-02T01:42:00Z,13,Charge 6
2025-11-02T01:43:00Z,7,Charge 6
2025-11-02T01:44:00Z,20,Charge 6
2025-11-02T01:46:00Z,38,Charge 6
2025-11-02T01:47:00Z,5,Charge 6
2025-11-02T01:48:00Z,16,Charge 6
2025-11-02T01:49:00Z,12,Charge 6
2025-11-02T01:50:00Z,8,Charge 6
2025-11-02T01:51:00Z,36,Charge 6
2025-11-02T01:52:00Z,1,Charge 6
2025-11-02T01:53:00Z,14,Charge 6
2025-11-02T01:55:00Z,12,Charge 6
2025-11-02T01:56:00Z,115,Charge 6
2025-11-02T01:57:00Z,118,Charge 6
2025-11-02T01:58:00Z,117,Charge 6
2025-11-02T01:59:00Z,55,Charge 6
2025-11-02T02:00:00Z,23,Charge 6
2025-11-02T02:01:00Z,4,Charge 6
2025-11-02T02:04:00Z,39,Charge 6
2025-11-02T02:05:00Z,116,Charge 6
2025-11-02T02:06:00Z,113,Charge 6
2025-11-02T02:07:00Z,68,Charge 6
2025-11-02T02:09:00Z,6,Charge 6
2025-11-02T02:10:00Z,14,Charge 6
2025-11-02T02:11:00Z,6,Charge 6
2025-11-02T02:12:00Z,13,Charge 6
2025-11-02T02:13:00Z,13,Charge 6
2025-11-02T02:14:00Z,23,Charge 6
2025-11-02T02:15:00Z,30,Charge 6
2025-11-02T02:16:00Z,12,Charge 6
2025-11-02T02:18:00Z,17,Charge 6
2025-11-02T02:19:00Z,33,Charge 6
2025-11-02T02:21:00Z,7,Charge 6
2025-11-02T02:22:00Z,11,Charge 6
2025-11-02T02:23:00Z,10,Charge 6
2025-11-02T02:24:00Z,6,Charge 6
2025-11-02T02:28:00Z,21,Charge 6
2025-11-02T02:29:00Z,8,Charge 6
2025-11-02T02:31:00Z,11,Charge 6
2025-11-02T02:32:00Z,30,Charge 6
2025-11-02T02:38:00Z,8,Charge 6
2025-11-02T02:45:00Z,9,Charge 6
2025-11-02T02:46:00Z,15,Charge 6
2025-11-02T02:47:00Z,17,Charge 6
2025-11-02T02:48:00Z,10,Charge 6
2025-11-02T02:49:00Z,18,Charge 6
2025-11-02T02:50:00Z,31,Charge 6
2025-11-02T02:51:00Z,6,Charge 6
2025-11-02T02:52:00Z,12,Charge 6
2025-11-02T02:53:00Z,4,Charge 6
2025-11-02T02:54:00Z,7,Charge 6
2025-11-02T02:56:00Z,6,Charge 6
2025-11-02T02:59:00Z,6,Charge 6
2025-11-02T03:00:00Z,10,Charge 6
2025-11-02T03:01:00Z,26,Charge 6
2025-11-02T03:02:00Z,77,Charge 6
2025-11-02T03:03:00Z,100,Charge 6
2025-11-02T03:04:00Z,86,Charge 6
2025-11-02T03:05:00Z,75,Charge 6
2025-11-02T03:06:00Z,23,Charge 6
2025-11-02T03:07:00Z,85,Charge 6
2025-11-02T03:08:00Z,38,Charge 6
2025-11-02T03:09:00Z,8,Charge 6
2025-11-02T03:10:00Z,49,Charge 6
2025-11-02T03:11:00Z,26,Charge 6
2025-11-02T03:24:00Z,5,Charge 6
2025-11-02T03:41:00Z,7,Charge 6
2025-11-02T03:44:00Z,7,Charge 6
2025-11-02T04:11:00Z,48,Charge 6
2025-11-02T04:21:00Z,31,Charge 6
2025-11-02T04:22:00Z,74,Charge 6
2025-11-02T04:30:00Z,19,Charge 6
2025-11-02T04:31:00Z,21,Charge 6
2025-11-02T04:35:00Z,12,Charge 6
2025-11-02T04:39:00Z,15,Charge 6
2025-11-02T04:42:00Z,11,Charge 6
2025-11-02T04:43:00Z,36,Charge 6
2025-11-02T04:44:00Z,19,Charge 6
2025-11-02T04:45:00Z,6,Charge 6
2025-11-02T04:46:00Z,39,Charge 6
2025-11-02T04:47:00Z,15,Charge 6
2025-11-02T04:49:00Z,15,Charge 6
2025-11-02T04:50:00Z,25,Charge 6
2025-11-02T04:51:00Z,19,Charge 6
2025-11-02T04:52:00Z,20,Charge 6
2025-11-02T05:00:00Z,15,Charge 6
2025-11-02T05:01:00Z,7,Charge 6
2025-11-02T05:02:00Z,10,Charge 6
2025-11-02T05:20:00Z,11,Charge 6
2025-11-02T05:21:00Z,6,Charge 6
2025-11-02T05:29:00Z,5,Charge 6
2025-11-02T05:40:00Z,10,Charge 6
2025-11-02T05:42:00Z,6,Charge 6
2025-11-02T05:45:00Z,33,Charge 6
2025-11-02T05:48:00Z,6,Charge 6
2025-11-02T05:50:00Z,12,Charge 6
2025-11-02T05:51:00Z,1,Charge 6
2025-11-02T05:54:00Z,13,Charge 6
2025-11-02T05:55:00Z,4,Charge 6
2025-11-02T06:07:00Z,17,Charge 6
2025-11-02T06:08:00Z,21,Charge 6
2025-11-02T06:15:00Z,7,Charge 6
2025-11-02T06:16:00Z,17,Charge 6
2025-11-02T06:17:00Z,46,Charge 6
2025-11-02T06:23:00Z,7,Charge 6
2025-11-02T06:24:00Z,18,Charge 6
2025-11-02T06:26:00Z,42,Charge 6
2025-11-02T06:27:00Z,20,Charge 6
2025-11-02T06:28:00Z,60,Charge 6
2025-11-02T06:29:00Z,50,Charge 6
