timestamp,distance,data source
2025-08-15T03:57:00Z,1.40,Charge 6
2025-08-15T03:58:00Z,1.40,Charge 6
2025-08-15T03:59:00Z,1.40,Charge 6
2025-08-15T04:01:00Z,3.60,Charge 6
2025-08-15T04:03:00Z,18.80,Charge 6
2025-08-15T04:04:00Z,38.50,Charge 6
2025-08-15T04:05:00Z,47.20,Charge 6
2025-08-15T04:06:00Z,46.50,Charge 6
2025-08-15T04:07:00Z,50.10,Charge 6
2025-08-15T04:08:00Z,32.60,Charge 6
2025-08-15T04:09:00Z,10.10,Charge 6
2025-08-15T04:11:00Z,7.90,Charge 6
2025-08-15T04:12:00Z,8.70,Charge 6
2025-08-15T04:13:00Z,18.80,Charge 6
2025-08-15T04:14:00Z,8.70,Charge 6
2025-08-15T04:17:00Z,31.90,Charge 6
2025-08-15T04:18:00Z,13.00,Charge 6
2025-08-15T04:22:00Z,17.40,Charge 6
2025-08-15T04:23:00Z,5.80,Charge 6
2025-08-15T04:25:00Z,2.90,Charge 6
2025-08-15T04:27:00Z,11.60,Charge 6
2025-08-15T04:30:00Z,12.30,Charge 6
